Order_Date,Product_Name,Units_Sold,Unit_Price,Total_Revenue,Customer_ID,Country,Month,year,Day_Of_Week
2009-12-01 07:45:00,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12.0,6.95,83.4,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,PINK CHERRY LIGHTS,12.0,6.75,81.0,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,WHITE CHERRY LIGHTS,12.0,6.75,81.0,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,"RECORD FRAME 7"" SINGLE SIZE",48.0,2.1,100.8,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,STRAWBERRY CERAMIC TRINKET BOX,24.0,1.25,30.0,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,PINK DOUGHNUT TRINKET POT,24.0,1.65,39.6,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,SAVE THE PLANET MUG,24.0,1.25,30.0,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:45:00,FANCY FONT HOME SWEET HOME DOORMAT,10.0,5.95,59.5,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:46:00,CAT BOWL,12.0,2.55,30.6,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:46:00,"DOG BOWL , CHASING BALL DESIGN",12.0,3.75,45.0,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:46:00,HEART MEASURING SPOONS LARGE,24.0,1.65,39.6,13085,United Kingdom,December,2009,Tuesday
2009-12-01 07:46:00,LUNCHBOX WITH CUTLERY FAIRY CAKES,12.0,2.55,30.6,13085,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,DOOR MAT BLACK FLOCK,10.0,5.95,59.5,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,LOVE BUILDING BLOCK WORD,18.0,5.45,98.1,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,HOME BUILDING BLOCK WORD,3.0,5.95,17.85,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,ASSORTED COLOUR BIRD ORNAMENT,16.0,1.69,27.04,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,PEACE WOODEN BLOCK LETTERS,3.0,6.95,20.85,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,CHRISTMAS CRAFT WHITE FAIRY,12.0,1.45,17.4,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,HEART IVORY TRELLIS LARGE,12.0,1.65,19.8,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,HEART FILIGREE DOVE LARGE,12.0,1.65,19.8,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,FULL ENGLISH BREAKFAST PLATE,16.0,3.39,54.24,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,PIZZA PLATE IN BOX,4.0,3.75,15.0,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,BLACK DINER WALL CLOCK,2.0,8.5,17.0,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,SET OF 3 BLACK FLYING DUCKS,12.0,4.65,55.8,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,AREA PATROLLED METAL SIGN,12.0,2.1,25.200000000000003,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,PLEASE ONE PERSON  METAL SIGN,12.0,2.1,25.200000000000003,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,BATH BUILDING BLOCK WORD,3.0,5.95,17.85,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,CLASSIC WHITE FRAME,6.0,2.95,17.700000000000003,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,SMALL MARSHMALLOWS PINK BOWL,8.0,1.25,10.0,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,BISCUITS SMALL BOWL LIGHT BLUE,8.0,1.25,10.0,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:06:00,SCOTTIE DOG HOT WATER BOTTLE,24.0,4.25,102.0,13078,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,CHRISTMAS CRAFT HEART DECORATIONS,6.0,2.1,12.6,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,CHRISTMAS CRAFT HEART STOCKING,6.0,2.1,12.6,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,PARTY CONE CHRISTMAS DECORATION,12.0,0.85,10.2,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,PEACE SMALL WOOD LETTERS,2.0,6.75,13.5,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,JOY LARGE WOOD LETTERS,1.0,9.95,9.95,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,CINAMMON & ORANGE WREATH,2.0,6.75,13.5,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,EUCALYPTUS & PINECONE  WREATH,2.0,6.75,13.5,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,WOODEN BOX ADVENT CALENDAR,2.0,8.95,17.9,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,FLORAL BLUE MONSTER,3.0,4.25,12.75,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,RETRO COFFEE MUGS ASSORTED,12.0,1.25,15.0,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,INFLATABLE POLITICAL GLOBE,12.0,0.85,10.2,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,STRIPES DESIGN MONKEY DOLL,6.0,2.55,15.3,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,BLUE PADDED SOFT MOBILE,3.0,4.25,12.75,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,PACK OF 6 SKULL PAPER CUPS,12.0,0.65,7.800000000000001,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,PACK OF 20 SKULL PAPER NAPKINS,12.0,0.85,10.2,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,HANGING HEART ZINC T-LIGHT HOLDER,12.0,0.85,10.2,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,PINK BLUE FELT CRAFT TRINKET BOX,12.0,1.25,15.0,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,FELTCRAFT DOLL ROSIE,6.0,2.95,17.700000000000003,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,FELTCRAFT DOLL MARIA,6.0,2.95,17.700000000000003,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,FELTCRAFT DOLL EMILY,6.0,2.95,17.700000000000003,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,VINTAGE SNAKES & LADDERS,4.0,3.75,15.0,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,SCOTTIE DOG HOT WATER BOTTLE,3.0,4.95,14.85,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:08:00,CHOCOLATE HOT WATER BOTTLE,3.0,4.95,14.85,15362,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,DINOSAURS  WRITING SET,28.0,0.98,27.44,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,SET OF MEADOW  FLOWER STICKERS,30.0,1.69,50.7,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE AND LOLA CHARLOTTE BAG,30.0,1.15,34.5,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,JUMBO BAG CHARLIE AND LOLA TOYS,30.0,2.0,60.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,JUMBO BAG TOYS,60.0,1.3,78.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,COUNTRY COTTAGE  DOORSTOP GREEN,32.0,2.5,80.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,GINGHAM HEART  DOORSTOP RED,32.0,2.5,80.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE+LOLA RED HOT WATER BOTTLE,56.0,3.0,168.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE LOLA BLUE HOT WATER BOTTLE,56.0,3.0,168.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE+LOLA PINK HOT WATER BOTTLE,60.0,1.9,114.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE + LOLA RED HOT WATER BOTTLE,56.0,1.9,106.4,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,TOMATO CHARLIE+LOLA COASTER SET,56.0,2.15,120.4,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CARROT CHARLIE+LOLA COASTER SET,60.0,2.4,144.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE + LOLA BISCUITS TINS,60.0,6.38,382.8,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE AND LOLA FIGURES TINS,60.0,6.4,384.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE & LOLA WASTEPAPER BIN BLUE,60.0,2.4,144.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:24:00,CHARLIE & LOLA WASTEPAPER BIN FLORA,60.0,2.4,144.0,18102,United Kingdom,December,2009,Tuesday
2009-12-01 09:28:00,CHRISTMAS PUDDING TRINKET POT,12.0,1.45,17.4,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,BAKING SET 9 PIECE RETROSPOT,9.0,4.95,44.55,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,RETRO SPOT TEA SET CERAMIC 11 PC,9.0,4.95,44.55,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,LUNCHBOX WITH CUTLERY RETROSPOT,12.0,2.55,30.6,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,BLACK/BLUE DOTS RUFFLED UMBRELLA,3.0,5.95,17.85,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,RED/WHITE DOTS RUFFLED UMBRELLA,3.0,5.95,17.85,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,WRAP ENGLISH ROSE,25.0,0.42,10.5,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,WRAP BLUE RUSSIAN FOLKART,25.0,0.42,10.5,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,SET OF THREE VINTAGE GIFT WRAPS,6.0,1.95,11.7,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,RETRO SPORT PARTY BAG + STICKER SET,8.0,1.65,13.2,12682,France,December,2009,Tuesday
2009-12-01 09:28:00,ASSORTED CAKES FRIDGE MAGNETS,12.0,0.65,7.800000000000001,12682,France,December,2009,Tuesday
